parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
k1_pop,0.329518807324593,,0.00608097444496368,1.8454104317553,0.317816,0.341652
k2_pop,0.00820499076240101,,0.000333790407546366,4.0681387366814,0.00757692,0.00888512
A0_pop,0.078453555564381,,0.00515894153767417,6.57579060701795,0.0689953,0.0892084
peak_pop,69.6841892418458,,1.3277951325598,1.90544676921125,67.1304,72.3351
omega_k1,0.190120437836526,19.185145845634,0.0165207205150765,8.68960786282313,0.1605,0.225207
omega_k2,0.42023051040753,43.9484013019634,0.031731899835668,7.55106996036417,0.362648,0.486957
omega_A0,0.818514476923416,97.6816655213939,0.0485540758124114,5.93197520402005,0.728896,0.919151
omega_peak,0.0341927726575599,3.42027691755655,0.016539610538451,48.3716565020769,0.0149309,0.078304
b,0.269029036674293,,0.0124334393864741,4.62159755696817,0.245767,0.294493
